"لِكُلِّ إِنْسانٍ الحَقُّ في الوُجودِ والحُرِّيَّةِ والأمْنِ، والحَقُّ في حُرِّيَّةِ الرَّأْيِ والتَّعْبيرِ بِدونِ تَمْيِيزٍ بِسَبَبِ العُنْصُرِ أَوِ اللَّوْنِ أَوِ الجِنْسِ أَوِ الثَّقافَةِ أَوِ الدِّينِ أَوِ الرَّأْيِ","لN N N في N وN وN P وN في N N وN بN N بN N أو N أو N أو N أو N أو N"
"طَائِرٌ مِنْ فَصيلَةِالوَزِّيَّاتِ، مِنْ رُتْبةِ الكَفِّيَّاتِ، لَهُ مِنْقارٌ عَريضٌ مُلَوَّنٌ، قَصيرُ العُنُقِ والرِّجْلَيْنِ، طَويلُ الأجْنِحَةِ، يَخْتَلِفُ عَنِ الإِوَزِّ، وَإِنْ كانَ يُشْبِهُهُ وَهُوَ طائِرٌ مائِيٌّ لَهُ قُدْرَةٌ على الطَّيَران","N من Q P من N Q P لR N J J P J N وN P J N P V عن N P وإن V VR وR N NR لR N على N"
"يَبْلُغُ عَدَدُ حُروفِ هِجاءِ اللُّغَةِ العَرَبِيَّةِ ثَمانِيَةً وَعِشْرينَ حَرْفاً هي: ا ب ت ث ج ح خ د ذ ر ز س ش ص ض ط ظ ع غ ف ق ك ل م ن هـ و ي. وَهُوَ ما يُسَمَّى بِحُروفِ الْمَبانِ","V N N N N J M وN N R P N N N N N N N N N N N N N N N N N N N N N N ل N N N و N P وR R V بN Q"
"اِنْقَشَعَ السّحابُ» لا مَحَلَّ لها مِنَ الإِعْرابِ لأَنَّها جُمْلَةٌ اِبْتِدائِيَّةٌ، والجُمَلُ التي لها مَحَلٌّ مِنَ الإِعْرابِ، هي التي تَحَلُّ مَحَلَّ مُفْرَدٍ، أي ما لَيْس جُمْلَةً ولا شِبْهَ جُمْلَة","V Q P لا N لR من N لأنR N NR P وN R لR N من N P R R V N N P R R V N ولا N N"
"جَمَاعَةٌ مِنَ النَّاسِ تَجْمَعُهُمْ رَوَابِطُ تَارِيخِيَّةٌ مُشْتَرَكَةٌ، قَدْ يَكُونُ فِيهَا مَا هُوَ لُغَوِيٌّ أوْ دِينِيٌّ أوِ اقْتِصَادِيٌّ وَلَهُمْ أهْدَافٌ مُشْتَرَكَةٌ فِي العَقِيدَةِ أَوِ السِّيَاسَةِ أَوِ الاقْتِصَاد","N من N VR N J J P A V فيR R R J أو J أو J ولR N J في N أو N أو N"
"لِكُلِّ إنْسَانٍ حَقُّ التَّمَتُّعِ بِكَافَّةِ الحُقُوقِ وَالحُرِّيَّاتِ دُونَ أيِّ تَمْيِيزٍ، كَالتَّمْيِيزِ بَيْنَ العُنْصُرِ أَوِ اللوْنِ أو الجِنْسِ أَوِ الدِّينِ أوِ الرَّأيِ السِّيَاسِيِّ أَوْ أَيِّ رَأيٍ آخَرَ","لN N N N بNR N وN N R N P كN N N أو N أو N أو N أو N J أو R N J"
"حَيَوَانٌ مِنْ فَصِيلَةِ الكَلْبِيَّاتِ مِنْ رُتْبَةِ الضَّوَارِي، لَهُ خَطْمٌ قَصِيرٌ وَذَنَبٌ طَوِيلٌ، يَتَسَاقَطُ شَعْرُهُ مَرَّةً فِي كُلِّ سَنَةٍ، يُعْرَفُ فِي الحِكَايَاتِ وَالقِصَصِ بِخِدَاعِهِ وتَحَايُلِه","N من NR Q من N N P لR N J وN J P V NR N في N N P V في N وN بNR وNR"
"مَرَضٌ عَصَبِيٌّ». وَمِنْهَا مَا هُوَ اجْتِمَاعِيٌّ، أَيْ مَا يُخْرِجُ الكَائِنَ الْحَيَّ عَنْ حَدِّ الاعْتِدَالِ مِنْ نِفَاقٍ أَوْ تَقْصِيرٍ فِي الأَمْرِ . فِي قُلُوبِهِمْ مَرَضٌ فَزَادَهُمُ اللَّهُ مَرَضا","N NR P P ومنR R R J P R R V N N عن N N من V أو N في N P في NR N فVR Q N"
"مَقَامُ النَّغَمِ». هُوَ مَجْمُوعَةٌ سُلَّمِيَّةٌ مِنَ النَّغَمَاتِ الْمُتَتَابِعَةِ تُقَدَّرُ بِسَبْعِ نَغَمَاتٍ، وكُلُّ مَقَامٍ مُوسِيقِيٍّ لَهُ أَبْعَادٌ تَخْتَلِفُ عَنْ بَقِيَّةِ الْمَقَامَاتِ الأُخْرَ","N N P P R N J من N N V بN N P وN N J لR N V عن N N J"
"وأَحْسَنُ مَا تُوصَفُ بِهِ الكَرَامَةُ عَلَى مَذْهَبِهَا أَنَّهَا كِسْوَةٌ اجْتِمَاعِيَّةٌ ولاَ يَخْلَعُهَا الْمَرْءُ فِي الْمَجَالِسِ ولاَ يَلْبَسُهَا مُمَزَّقَةً أَوْ مُرَقَّعَةً أو مَوْصُومَةً","وV R V بR N على NR أنR VR J ولا VR N في N ولا VR Q أو N أو Q"
"وَصَفَ لَهُ جَمِيعَ مَا وَرَدَ فِي الشَّرِيعَةِ مِنْ وَصْفِ العَالَمِ الإِلَهِيِّ، وَالْجَنَّةِ وَالنَّارِ وَالبَعْثِ وَالنُّشُورِ وَالْحَشْرِ وَالْحِسَابِ وَالْمِيزَانِ وَالصِّرَاطِ","V لR N R وV في N من V N J P وN وN وN وN وN وN وN وN"
"الْجُمْهورِيَّةُ العِراقِيَّةُ» عَاصِمَتُهَا بَغْدَاد. يَقَعُ العِراقُ فِي غَرْبِ آسِيَا بَيْنَ سُورِيَةَ وَالسُّعُودِيَّةِ وَالْكُوَيتِ وَإيرانَ وَتُرْكِيَا وَالأُرْدُن","N J P NR Q P V Q في N Q N Q وN وQ وQ وQ وQ"
"تُطْلَقُ كَلِمَةُ الحايِكِ عَلى لِباسِ الْمَرْأَةِ بِالْمَغْرِبِ وَهُوَ مُكَوَّنٌ مِنْ قِطْعَةِ ثَوْبٍ تَرْتَديهِ الْمَرْأَةُ، يَسْتُرُ رَأْسَها وَوَجْهَها وَكامِلَ جَسَدِه","V N Q على N N بQ وR N من N N VR N P V NR وNR وQ NR"
